Refractive index of gold (Made on 10-13-21)
1 2 3 0 0 = specifies whether N or epsilon are read in (see manual)
lambda [um]	n	k
0.293	1.49521	1.87921
0.294	1.50368	1.88122
0.295	1.51073	1.88296
0.296	1.51647	1.88445
0.297	1.52104	1.88572
0.298	1.52456	1.88678
0.299	1.52715	1.88767
0.300	1.52893	1.88841
0.301	1.53002	1.88901
0.302	1.53055	1.88951
0.303	1.53064	1.88993
0.304	1.53041	1.89029
0.305	1.52999	1.89061
0.306	1.52950	1.89092
0.307	1.52906	1.89124
0.308	1.52879	1.89160
0.309	1.52882	1.89203
0.310	1.52927	1.89253
0.311	1.53027	1.89314
0.312	1.53183	1.89386
0.313	1.53378	1.89465
0.314	1.53591	1.89547
0.315	1.53801	1.89625
0.316	1.53987	1.89696
0.317	1.54130	1.89755
0.318	1.54208	1.89797
0.319	1.54200	1.89818
0.320	1.54085	1.89812
0.321	1.53845	1.89775
0.322	1.53482	1.89707
0.323	1.53017	1.89613
0.324	1.52472	1.89496
0.325	1.51869	1.89361
0.326	1.51230	1.89211
0.327	1.50575	1.89050
0.328	1.49927	1.88884
0.329	1.49307	1.88715
0.330	1.48737	1.88547
0.331	1.48239	1.88386
0.332	1.47834	1.88235
0.333	1.47529	1.88095
0.334	1.47317	1.87965
0.335	1.47188	1.87845
0.336	1.47135	1.87732
0.337	1.47147	1.87626
0.338	1.47215	1.87526
0.339	1.47332	1.87429
0.340	1.47488	1.87335
0.341	1.47674	1.87243
0.342	1.47880	1.87151
0.343	1.48100	1.87058
0.344	1.48325	1.86964
0.345	1.48551	1.86873
0.346	1.48775	1.86786
0.347	1.48992	1.86707
0.348	1.49198	1.86638
0.349	1.49390	1.86581
0.350	1.49564	1.86540
0.351	1.49714	1.86517
0.352	1.49838	1.86514
0.353	1.49932	1.86535
0.354	1.49990	1.86581
0.355	1.50010	1.86656
0.356	1.49993	1.86759
0.357	1.49940	1.86888
0.358	1.49857	1.87041
0.359	1.49745	1.87217
0.360	1.49608	1.87413
0.361	1.49450	1.87629
0.362	1.49272	1.87861
0.363	1.49079	1.88109
0.364	1.48874	1.88370
