Refractive index of Au from Johnson and Christy
1 2 3 0 0 = specifies whether N or epsilon are read in (see manual)
     lambda                re(N)          im(N)
     0.29246001            1.49   	  1.878
     0.30097826            1.53   	  1.889
     0.31078457            1.53   	  1.893
      0.3204213            1.54   	  1.898
     0.33155894            1.48   	  1.883
     0.34254985            1.48   	  1.871
     0.35429441             1.5   	  1.866
     0.36796155            1.48   	  1.895
     0.38154783            1.46   	  1.933
     0.39744565            1.47   	  1.952
     0.41334348            1.46   	  1.958
     0.43056612            1.45   	  1.948
     0.45092016            1.38   	  1.914
     0.47149446            1.31   	  1.849
     0.49601218            1.04   	  1.833
     0.52102119            0.62   	  2.081
     0.54868604            0.43   	  2.455
     0.58217392            0.29   	  2.863
     0.61693057            0.21   	  3.272
     0.65959066            0.14   	  3.697
     0.70456275            0.13   	  4.103
     0.75611612            0.14   	  4.542
     0.82121221            0.16   	  5.083
     0.89210823            0.17   	  5.663
     0.98415114            0.22   	   6.35
       1.087746            0.27   	   7.15
      1.2157161            0.35   	  8.145
      1.3932926            0.43   	  9.519
      1.6104291            0.56   	  11.21
      1.9375476            0.92   	  13.78
      2.0000001            1.0044         14.272803
