Drude mode fit to JC with eps_inf = 9.695 w_p = 8.959 gam = 0.073
1 0 0 2 3 = Specifies Epsilon
lambda	Re[eps] 	Img[eps]
0.49601218	-3.135914843053488	0.37577236195128133
0.52102119	-4.461164352509892	0.43548730249492396
0.54868604	-6.002779491291173	0.508553104712444
0.58217392	-7.9750985280927935	0.60738707325182
0.61693057	-10.1450765379048	0.7226918530890875
0.65959066	-12.979500771207508	0.8830503114696752
0.70456275	-16.17137863779081	1.076039613644477
0.75611612	-20.08740186813248	1.3295997320261133
0.82121221	-25.423717940211834	1.7028112228638497
0.89210823	-31.73164175731439	2.1820742060494904
0.98415114	-40.69075673210304	2.927801416411058
1.087746	-51.81073363049585	3.950162426551536
1.2157161	-67.05544093198718	5.509151877357014
1.3932926	-90.9527511573698	8.27976389662396
1.6104291	-124.46499697015113	12.756633390722254
