21 21 21
0 0 0 0.252731
0 0 1 0.086064
0 0 2 0.042889
0 0 3 0.027545
0 0 4 0.020289
0 0 5 0.016101
0 0 6 0.013365
0 0 7 0.011430
0 0 8 0.009988
0 0 9 0.008870
0 0 10 0.007978
0 0 11 0.007250
0 0 12 0.006643
0 0 13 0.006131
0 0 14 0.005691
0 0 15 0.005311
0 0 16 0.004979
0 0 17 0.004685
0 0 18 0.004424
0 0 19 0.004191
0 0 20 0.003981
0 1 0 0.086064
0 1 1 0.055191
0 1 2 0.035932
0 1 3 0.025523
0 1 4 0.019522
0 1 5 0.015738
0 1 6 0.013164
0 1 7 0.011307
0 1 8 0.009907
0 1 9 0.008814
0 1 10 0.007937
0 1 11 0.007219
0 1 12 0.006620
0 1 13 0.006112
0 1 14 0.005677
0 1 15 0.005299
0 1 16 0.004969
0 1 17 0.004677
0 1 18 0.004418
0 1 19 0.004185
0 1 20 0.003976
0 2 0 0.042889
0 2 1 0.035932
0 2 2 0.028055
0 2 3 0.022075
0 2 4 0.017843
0 2 5 0.014830
0 2 6 0.012626
0 2 7 0.010965
0 2 8 0.009676
0 2 9 0.008651
0 2 10 0.007819
0 2 11 0.007130
0 2 12 0.006551
0 2 13 0.006058
0 2 14 0.005633
0 2 15 0.005264
0 2 16 0.004940
0 2 17 0.004653
0 2 18 0.004397
0 2 19 0.004168
0 2 20 0.003961
0 3 0 0.027545
0 3 1 0.025523
0 3 2 0.022075
0 3 3 0.018715
0 3 4 0.015899
0 3 5 0.013652
0 3 6 0.011876
0 3 7 0.010465
0 3 8 0.009329
0 3 9 0.008401
0 3 10 0.007633
0 3 11 0.006989
0 3 12 0.006441
0 3 13 0.005971
0 3 14 0.005563
0 3 15 0.005207
0 3 16 0.004892
0 3 17 0.004613
0 3 18 0.004364
0 3 19 0.004140
0 3 20 0.003937
0 4 0 0.020289
0 4 1 0.019522
0 4 2 0.017843
0 4 3 0.015899
0 4 4 0.014045
0 4 5 0.012416
0 4 6 0.011033
0 4 7 0.009873
0 4 8 0.008903
0 4 9 0.008086
0 4 10 0.007395
0 4 11 0.006805
0 4 12 0.006297
0 4 13 0.005855
0 4 14 0.005470
0 4 15 0.005130
0 4 16 0.004828
0 4 17 0.004559
0 4 18 0.004318
0 4 19 0.004101
0 4 20 0.003904
0 5 0 0.016101
0 5 1 0.015738
0 5 2 0.014830
0 5 3 0.013652
0 5 4 0.012416
0 5 5 0.011242
0 5 6 0.010181
0 5 7 0.009247
0 5 8 0.008435
0 5 9 0.007731
0 5 10 0.007120
0 5 11 0.006589
0 5 12 0.006125
0 5 13 0.005717
0 5 14 0.005356
0 5 15 0.005036
0 5 16 0.004750
0 5 17 0.004493
0 5 18 0.004262
0 5 19 0.004052
0 5 20 0.003862
0 6 0 0.013365
0 6 1 0.013164
0 6 2 0.012626
0 6 3 0.011876
0 6 4 0.011033
0 6 5 0.010181
0 6 6 0.009371
0 6 7 0.008626
0 6 8 0.007955
0 6 9 0.007356
0 6 10 0.006824
0 6 11 0.006352
0 6 12 0.005933
0 6 13 0.005560
0 6 14 0.005226
0 6 15 0.004928
0 6 16 0.004659
0 6 17 0.004416
0 6 18 0.004196
0 6 19 0.003995
0 6 20 0.003812
0 7 0 0.011430
0 7 1 0.011307
0 7 2 0.010965
0 7 3 0.010465
0 7 4 0.009873
0 7 5 0.009247
0 7 6 0.008626
0 7 7 0.008034
0 7 8 0.007482
0 7 9 0.006977
0 7 10 0.006518
0 7 11 0.006103
0 7 12 0.005729
0 7 13 0.005390
0 7 14 0.005085
0 7 15 0.004809
0 7 16 0.004558
0 7 17 0.004330
0 7 18 0.004122
0 7 19 0.003931
0 7 20 0.003757
0 8 0 0.009988
0 8 1 0.009907
0 8 2 0.009676
0 8 3 0.009329
0 8 4 0.008903
0 8 5 0.008435
0 8 6 0.007955
0 8 7 0.007482
0 8 8 0.007030
0 8 9 0.006606
0 8 10 0.006212
0 8 11 0.005850
0 8 12 0.005517
0 8 13 0.005213
0 8 14 0.004936
0 8 15 0.004682
0 8 16 0.004449
0 8 17 0.004236
0 8 18 0.004041
0 8 19 0.003861
0 8 20 0.003695
0 9 0 0.008870
0 9 1 0.008814
0 9 2 0.008651
0 9 3 0.008401
0 9 4 0.008086
0 9 5 0.007731
0 9 6 0.007356
0 9 7 0.006977
0 9 8 0.006606
0 9 9 0.006250
0 9 10 0.005913
0 9 11 0.005598
0 9 12 0.005304
0 9 13 0.005032
0 9 14 0.004781
0 9 15 0.004549
0 9 16 0.004335
0 9 17 0.004137
0 9 18 0.003955
0 9 19 0.003786
0 9 20 0.003629
0 10 0 0.007978
0 10 1 0.007937
0 10 2 0.007819
0 10 3 0.007633
0 10 4 0.007395
0 10 5 0.007120
0 10 6 0.006824
0 10 7 0.006518
0 10 8 0.006212
0 10 9 0.005913
0 10 10 0.005625
0 10 11 0.005352
0 10 12 0.005093
0 10 13 0.004851
0 10 14 0.004625
0 10 15 0.004414
0 10 16 0.004218
0 10 17 0.004035
0 10 18 0.003865
0 10 19 0.003707
0 10 20 0.003559
0 11 0 0.007250
0 11 1 0.007219
0 11 2 0.007130
0 11 3 0.006989
0 11 4 0.006805
0 11 5 0.006589
0 11 6 0.006352
0 11 7 0.006103
0 11 8 0.005850
0 11 9 0.005598
0 11 10 0.005352
0 11 11 0.005114
0 11 12 0.004887
0 11 13 0.004672
0 11 14 0.004469
0 11 15 0.004278
0 11 16 0.004098
0 11 17 0.003930
0 11 18 0.003772
0 11 19 0.003625
0 11 20 0.003487
0 12 0 0.006643
0 12 1 0.006620
0 12 2 0.006551
0 12 3 0.006441
0 12 4 0.006297
0 12 5 0.006125
0 12 6 0.005933
0 12 7 0.005729
0 12 8 0.005517
0 12 9 0.005304
0 12 10 0.005093
0 12 11 0.004887
0 12 12 0.004688
0 12 13 0.004497
0 12 14 0.004315
0 12 15 0.004142
0 12 16 0.003978
0 12 17 0.003824
0 12 18 0.003678
0 12 19 0.003541
0 12 20 0.003412
0 13 0 0.006131
0 13 1 0.006112
0 13 2 0.006058
0 13 3 0.005971
0 13 4 0.005855
0 13 5 0.005717
0 13 6 0.005560
0 13 7 0.005390
0 13 8 0.005213
0 13 9 0.005032
0 13 10 0.004851
0 13 11 0.004672
0 13 12 0.004497
0 13 13 0.004328
0 13 14 0.004165
0 13 15 0.004008
0 13 16 0.003860
0 13 17 0.003718
0 13 18 0.003584
0 13 19 0.003456
0 13 20 0.003336
0 14 0 0.005691
0 14 1 0.005677
0 14 2 0.005633
0 14 3 0.005563
0 14 4 0.005470
0 14 5 0.005356
0 14 6 0.005226
0 14 7 0.005085
0 14 8 0.004936
0 14 9 0.004781
0 14 10 0.004625
0 14 11 0.004469
0 14 12 0.004315
0 14 13 0.004165
0 14 14 0.004019
0 14 15 0.003878
0 14 16 0.003743
0 14 17 0.003613
0 14 18 0.003489
0 14 19 0.003372
0 14 20 0.003259
0 15 0 0.005311
0 15 1 0.005299
0 15 2 0.005264
0 15 3 0.005207
0 15 4 0.005130
0 15 5 0.005036
0 15 6 0.004928
0 15 7 0.004809
0 15 8 0.004682
0 15 9 0.004549
0 15 10 0.004414
0 15 11 0.004278
0 15 12 0.004142
0 15 13 0.004008
0 15 14 0.003878
0 15 15 0.003751
0 15 16 0.003628
0 15 17 0.003510
0 15 18 0.003396
0 15 19 0.003287
0 15 20 0.003183
0 16 0 0.004979
0 16 1 0.004969
0 16 2 0.004940
0 16 3 0.004892
0 16 4 0.004828
0 16 5 0.004750
0 16 6 0.004659
0 16 7 0.004558
0 16 8 0.004449
0 16 9 0.004335
0 16 10 0.004218
0 16 11 0.004098
0 16 12 0.003978
0 16 13 0.003860
0 16 14 0.003743
0 16 15 0.003628
0 16 16 0.003516
0 16 17 0.003408
0 16 18 0.003304
0 16 19 0.003203
0 16 20 0.003107
0 17 0 0.004685
0 17 1 0.004677
0 17 2 0.004653
0 17 3 0.004613
0 17 4 0.004559
0 17 5 0.004493
0 17 6 0.004416
0 17 7 0.004330
0 17 8 0.004236
0 17 9 0.004137
0 17 10 0.004035
0 17 11 0.003930
0 17 12 0.003824
0 17 13 0.003718
0 17 14 0.003613
0 17 15 0.003510
0 17 16 0.003408
0 17 17 0.003310
0 17 18 0.003214
0 17 19 0.003121
0 17 20 0.003031
0 18 0 0.004424
0 18 1 0.004418
0 18 2 0.004397
0 18 3 0.004364
0 18 4 0.004318
0 18 5 0.004262
0 18 6 0.004196
0 18 7 0.004122
0 18 8 0.004041
0 18 9 0.003955
0 18 10 0.003865
0 18 11 0.003772
0 18 12 0.003678
0 18 13 0.003584
0 18 14 0.003489
0 18 15 0.003396
0 18 16 0.003304
0 18 17 0.003214
0 18 18 0.003126
0 18 19 0.003040
0 18 20 0.002957
0 19 0 0.004191
0 19 1 0.004185
0 19 2 0.004168
0 19 3 0.004140
0 19 4 0.004101
0 19 5 0.004052
0 19 6 0.003995
0 19 7 0.003931
0 19 8 0.003861
0 19 9 0.003786
0 19 10 0.003707
0 19 11 0.003625
0 19 12 0.003541
0 19 13 0.003456
0 19 14 0.003372
0 19 15 0.003287
0 19 16 0.003203
0 19 17 0.003121
0 19 18 0.003040
0 19 19 0.002961
0 19 20 0.002884
0 20 0 0.003981
0 20 1 0.003976
0 20 2 0.003961
0 20 3 0.003937
0 20 4 0.003904
0 20 5 0.003862
0 20 6 0.003812
0 20 7 0.003757
0 20 8 0.003695
0 20 9 0.003629
0 20 10 0.003559
0 20 11 0.003487
0 20 12 0.003412
0 20 13 0.003336
0 20 14 0.003259
0 20 15 0.003183
0 20 16 0.003107
0 20 17 0.003031
0 20 18 0.002957
0 20 19 0.002884
0 20 20 0.002813
1 0 0 0.086064
1 0 1 0.055191
1 0 2 0.035932
1 0 3 0.025523
1 0 4 0.019522
1 0 5 0.015738
1 0 6 0.013164
1 0 7 0.011307
1 0 8 0.009907
1 0 9 0.008814
1 0 10 0.007937
1 0 11 0.007219
1 0 12 0.006620
1 0 13 0.006112
1 0 14 0.005677
1 0 15 0.005299
1 0 16 0.004969
1 0 17 0.004677
1 0 18 0.004418
1 0 19 0.004185
1 0 20 0.003976
1 1 0 0.055191
1 1 1 0.043578
1 1 2 0.031965
1 1 3 0.024033
1 1 4 0.018869
1 1 5 0.015406
1 1 6 0.012974
1 1 7 0.011189
1 1 8 0.009828
1 1 9 0.008759
1 1 10 0.007897
1 1 11 0.007189
1 1 12 0.006597
1 1 13 0.006094
1 1 14 0.005662
1 1 15 0.005287
1 1 16 0.004959
1 1 17 0.004669
1 1 18 0.004411
1 1 19 0.004180
1 1 20 0.003971
1 2 0 0.035932
1 2 1 0.031965
1 2 2 0.026159
1 2 3 0.021158
1 2 4 0.017365
1 2 5 0.014559
1 2 6 0.012461
1 2 7 0.010858
1 2 8 0.009603
1 2 9 0.008599
1 2 10 0.007780
1 2 11 0.007101
1 2 12 0.006529
1 2 13 0.006040
1 2 14 0.005619
1 2 15 0.005252
1 2 16 0.004930
1 2 17 0.004645
1 2 18 0.004390
1 2 19 0.004162
1 2 20 0.003957
1 3 0 0.025523
1 3 1 0.024033
1 3 2 0.021158
1 3 3 0.018170
1 3 4 0.015570
1 3 5 0.013445
1 3 6 0.011741
1 3 7 0.010372
1 3 8 0.009263
1 3 9 0.008354
1 3 10 0.007598
1 3 11 0.006961
1 3 12 0.006420
1 3 13 0.005954
1 3 14 0.005550
1 3 15 0.005195
1 3 16 0.004883
1 3 17 0.004605
1 3 18 0.004357
1 3 19 0.004134
1 3 20 0.003932
1 4 0 0.019522
1 4 1 0.018869
1 4 2 0.017365
1 4 3 0.015570
1 4 4 0.013821
1 4 5 0.012262
1 4 6 0.010925
1 4 7 0.009796
1 4 8 0.008846
1 4 9 0.008044
1 4 10 0.007363
1 4 11 0.006780
1 4 12 0.006277
1 4 13 0.005839
1 4 14 0.005457
1 4 15 0.005119
1 4 16 0.004819
1 4 17 0.004552
1 4 18 0.004312
1 4 19 0.004095
1 4 20 0.003899
1 5 0 0.015738
1 5 1 0.015406
1 5 2 0.014559
1 5 3 0.013445
1 5 4 0.012262
1 5 5 0.011128
1 5 6 0.010097
1 5 7 0.009184
1 5 8 0.008387
1 5 9 0.007694
1 5 10 0.007092
1 5 11 0.006566
1 5 12 0.006106
1 5 13 0.005702
1 5 14 0.005344
1 5 15 0.005026
1 5 16 0.004741
1 5 17 0.004486
1 5 18 0.004256
1 5 19 0.004047
1 5 20 0.003857
1 6 0 0.013164
1 6 1 0.012974
1 6 2 0.012461
1 6 3 0.011741
1 6 4 0.010925
1 6 5 0.010097
1 6 6 0.009305
1 6 7 0.008575
1 6 8 0.007915
1 6 9 0.007324
1 6 10 0.006799
1 6 11 0.006332
1 6 12 0.005916
1 6 13 0.005546
1 6 14 0.005215
1 6 15 0.004918
1 6 16 0.004651
1 6 17 0.004409
1 6 18 0.004190
1 6 19 0.003990
1 6 20 0.003808
1 7 0 0.011307
1 7 1 0.011189
1 7 2 0.010858
1 7 3 0.010372
1 7 4 0.009796
1 7 5 0.009184
1 7 6 0.008575
1 7 7 0.007993
1 7 8 0.007449
1 7 9 0.006950
1 7 10 0.006496
1 7 11 0.006085
1 7 12 0.005714
1 7 13 0.005378
1 7 14 0.005075
1 7 15 0.004800
1 7 16 0.004550
1 7 17 0.004323
1 7 18 0.004116
1 7 19 0.003926
1 7 20 0.003752
1 8 0 0.009907
1 8 1 0.009828
1 8 2 0.009603
1 8 3 0.009263
1 8 4 0.008846
1 8 5 0.008387
1 8 6 0.007915
1 8 7 0.007449
1 8 8 0.007003
1 8 9 0.006583
1 8 10 0.006193
1 8 11 0.005834
1 8 12 0.005504
1 8 13 0.005202
1 8 14 0.004926
1 8 15 0.004673
1 8 16 0.004442
1 8 17 0.004230
1 8 18 0.004036
1 8 19 0.003856
1 8 20 0.003691
1 9 0 0.008814
1 9 1 0.008759
1 9 2 0.008599
1 9 3 0.008354
1 9 4 0.008044
1 9 5 0.007694
1 9 6 0.007324
1 9 7 0.006950
1 9 8 0.006583
1 9 9 0.006231
1 9 10 0.005897
1 9 11 0.005584
1 9 12 0.005292
1 9 13 0.005022
1 9 14 0.004773
1 9 15 0.004542
1 9 16 0.004329
1 9 17 0.004132
1 9 18 0.003950
1 9 19 0.003781
1 9 20 0.003625
1 10 0 0.007937
1 10 1 0.007897
1 10 2 0.007780
1 10 3 0.007598
1 10 4 0.007363
1 10 5 0.007092
1 10 6 0.006799
1 10 7 0.006496
1 10 8 0.006193
1 10 9 0.005897
1 10 10 0.005611
1 10 11 0.005339
1 10 12 0.005083
1 10 13 0.004842
1 10 14 0.004617
1 10 15 0.004407
1 10 16 0.004212
1 10 17 0.004030
1 10 18 0.003860
1 10 19 0.003703
1 10 20 0.003556
1 11 0 0.007219
1 11 1 0.007189
1 11 2 0.007101
1 11 3 0.006961
1 11 4 0.006780
1 11 5 0.006566
1 11 6 0.006332
1 11 7 0.006085
1 11 8 0.005834
1 11 9 0.005584
1 11 10 0.005339
1 11 11 0.005104
1 11 12 0.004878
1 11 13 0.004664
1 11 14 0.004462
1 11 15 0.004272
1 11 16 0.004093
1 11 17 0.003925
1 11 18 0.003768
1 11 19 0.003621
1 11 20 0.003483
1 12 0 0.006620
1 12 1 0.006597
1 12 2 0.006529
1 12 3 0.006420
1 12 4 0.006277
1 12 5 0.006106
1 12 6 0.005916
1 12 7 0.005714
1 12 8 0.005504
1 12 9 0.005292
1 12 10 0.005083
1 12 11 0.004878
1 12 12 0.004680
1 12 13 0.004490
1 12 14 0.004309
1 12 15 0.004136
1 12 16 0.003974
1 12 17 0.003820
1 12 18 0.003674
1 12 19 0.003538
1 12 20 0.003409
1 13 0 0.006112
1 13 1 0.006094
1 13 2 0.006040
1 13 3 0.005954
1 13 4 0.005839
1 13 5 0.005702
1 13 6 0.005546
1 13 7 0.005378
1 13 8 0.005202
1 13 9 0.005022
1 13 10 0.004842
1 13 11 0.004664
1 13 12 0.004490
1 13 13 0.004321
1 13 14 0.004159
1 13 15 0.004003
1 13 16 0.003855
1 13 17 0.003714
1 13 18 0.003580
1 13 19 0.003453
1 13 20 0.003333
1 14 0 0.005677
1 14 1 0.005662
1 14 2 0.005619
1 14 3 0.005550
1 14 4 0.005457
1 14 5 0.005344
1 14 6 0.005215
1 14 7 0.005075
1 14 8 0.004926
1 14 9 0.004773
1 14 10 0.004617
1 14 11 0.004462
1 14 12 0.004309
1 14 13 0.004159
1 14 14 0.004014
1 14 15 0.003873
1 14 16 0.003738
1 14 17 0.003609
1 14 18 0.003486
1 14 19 0.003369
1 14 20 0.003257
1 15 0 0.005299
1 15 1 0.005287
1 15 2 0.005252
1 15 3 0.005195
1 15 4 0.005119
1 15 5 0.005026
1 15 6 0.004918
1 15 7 0.004800
1 15 8 0.004673
1 15 9 0.004542
1 15 10 0.004407
1 15 11 0.004272
1 15 12 0.004136
1 15 13 0.004003
1 15 14 0.003873
1 15 15 0.003747
1 15 16 0.003624
1 15 17 0.003506
1 15 18 0.003393
1 15 19 0.003284
1 15 20 0.003180
1 16 0 0.004969
1 16 1 0.004959
1 16 2 0.004930
1 16 3 0.004883
1 16 4 0.004819
1 16 5 0.004741
1 16 6 0.004651
1 16 7 0.004550
1 16 8 0.004442
1 16 9 0.004329
1 16 10 0.004212
1 16 11 0.004093
1 16 12 0.003974
1 16 13 0.003855
1 16 14 0.003738
1 16 15 0.003624
1 16 16 0.003513
1 16 17 0.003405
1 16 18 0.003301
1 16 19 0.003201
1 16 20 0.003104
1 17 0 0.004677
1 17 1 0.004669
1 17 2 0.004645
1 17 3 0.004605
1 17 4 0.004552
1 17 5 0.004486
1 17 6 0.004409
1 17 7 0.004323
1 17 8 0.004230
1 17 9 0.004132
1 17 10 0.004030
1 17 11 0.003925
1 17 12 0.003820
1 17 13 0.003714
1 17 14 0.003609
1 17 15 0.003506
1 17 16 0.003405
1 17 17 0.003307
1 17 18 0.003211
1 17 19 0.003119
1 17 20 0.003029
1 18 0 0.004418
1 18 1 0.004411
1 18 2 0.004390
1 18 3 0.004357
1 18 4 0.004312
1 18 5 0.004256
1 18 6 0.004190
1 18 7 0.004116
1 18 8 0.004036
1 18 9 0.003950
1 18 10 0.003860
1 18 11 0.003768
1 18 12 0.003674
1 18 13 0.003580
1 18 14 0.003486
1 18 15 0.003393
1 18 16 0.003301
1 18 17 0.003211
1 18 18 0.003123
1 18 19 0.003038
1 18 20 0.002955
1 19 0 0.004185
1 19 1 0.004180
1 19 2 0.004162
1 19 3 0.004134
1 19 4 0.004095
1 19 5 0.004047
1 19 6 0.003990
1 19 7 0.003926
1 19 8 0.003856
1 19 9 0.003781
1 19 10 0.003703
1 19 11 0.003621
1 19 12 0.003538
1 19 13 0.003453
1 19 14 0.003369
1 19 15 0.003284
1 19 16 0.003201
1 19 17 0.003119
1 19 18 0.003038
1 19 19 0.002959
1 19 20 0.002883
1 20 0 0.003976
1 20 1 0.003971
1 20 2 0.003957
1 20 3 0.003932
1 20 4 0.003899
1 20 5 0.003857
1 20 6 0.003808
1 20 7 0.003752
1 20 8 0.003691
1 20 9 0.003625
1 20 10 0.003556
1 20 11 0.003483
1 20 12 0.003409
1 20 13 0.003333
1 20 14 0.003257
1 20 15 0.003180
1 20 16 0.003104
1 20 17 0.003029
1 20 18 0.002955
1 20 19 0.002883
1 20 20 0.002812
2 0 0 0.042889
2 0 1 0.035932
2 0 2 0.028055
2 0 3 0.022075
2 0 4 0.017843
2 0 5 0.014830
2 0 6 0.012626
2 0 7 0.010965
2 0 8 0.009676
2 0 9 0.008651
2 0 10 0.007819
2 0 11 0.007130
2 0 12 0.006551
2 0 13 0.006058
2 0 14 0.005633
2 0 15 0.005264
2 0 16 0.004940
2 0 17 0.004653
2 0 18 0.004397
2 0 19 0.004168
2 0 20 0.003961
2 1 0 0.035932
2 1 1 0.031965
2 1 2 0.026159
2 1 3 0.021158
2 1 4 0.017365
2 1 5 0.014559
2 1 6 0.012461
2 1 7 0.010858
2 1 8 0.009603
2 1 9 0.008599
2 1 10 0.007780
2 1 11 0.007101
2 1 12 0.006529
2 1 13 0.006040
2 1 14 0.005619
2 1 15 0.005252
2 1 16 0.004930
2 1 17 0.004645
2 1 18 0.004390
2 1 19 0.004162
2 1 20 0.003957
2 2 0 0.028055
2 2 1 0.026159
2 2 2 0.022651
2 2 3 0.019144
2 2 4 0.016193
2 2 5 0.013849
2 2 6 0.012009
2 2 7 0.010557
2 2 8 0.009394
2 2 9 0.008449
2 2 10 0.007669
2 2 11 0.007016
2 2 12 0.006463
2 2 13 0.005988
2 2 14 0.005577
2 2 15 0.005218
2 2 16 0.004902
2 2 17 0.004621
2 2 18 0.004370
2 2 19 0.004145
2 2 20 0.003942
2 3 0 0.022075
2 3 1 0.021158
2 3 2 0.019144
2 3 3 0.016852
2 3 4 0.014718
2 3 5 0.012886
2 3 6 0.011364
2 3 7 0.010111
2 3 8 0.009076
2 3 9 0.008216
2 3 10 0.007494
2 3 11 0.006882
2 3 12 0.006357
2 3 13 0.005904
2 3 14 0.005509
2 3 15 0.005162
2 3 16 0.004855
2 3 17 0.004582
2 3 18 0.004337
2 3 19 0.004117
2 3 20 0.003918
2 4 0 0.017843
2 4 1 0.017365
2 4 2 0.016193
2 4 3 0.014718
2 4 4 0.013218
2 4 5 0.011837
2 4 6 0.010622
2 4 7 0.009576
2 4 8 0.008684
2 4 9 0.007922
2 4 10 0.007269
2 4 11 0.006706
2 4 12 0.006218
2 4 13 0.005792
2 4 14 0.005418
2 4 15 0.005087
2 4 16 0.004793
2 4 17 0.004530
2 4 18 0.004293
2 4 19 0.004079
2 4 20 0.003885
2 5 0 0.014830
2 5 1 0.014559
2 5 2 0.013849
2 5 3 0.012886
2 5 4 0.011837
2 5 5 0.010809
2 5 6 0.009857
2 5 7 0.009003
2 5 8 0.008249
2 5 9 0.007587
2 5 10 0.007008
2 5 11 0.006500
2 5 12 0.006053
2 5 13 0.005658
2 5 14 0.005308
2 5 15 0.004996
2 5 16 0.004716
2 5 17 0.004465
2 5 18 0.004237
2 5 19 0.004031
2 5 20 0.003844
2 6 0 0.012626
2 6 1 0.012461
2 6 2 0.012009
2 6 3 0.011364
2 6 4 0.010622
2 6 5 0.009857
2 6 6 0.009117
2 6 7 0.008428
2 6 8 0.007799
2 6 9 0.007232
2 6 10 0.006725
2 6 11 0.006272
2 6 12 0.005868
2 6 13 0.005506
2 6 14 0.005182
2 6 15 0.004890
2 6 16 0.004627
2 6 17 0.004389
2 6 18 0.004172
2 6 19 0.003975
2 6 20 0.003795
2 7 0 0.010965
2 7 1 0.010858
2 7 2 0.010557
2 7 3 0.010111
2 7 4 0.009576
2 7 5 0.009003
2 7 6 0.008428
2 7 7 0.007873
2 7 8 0.007352
2 7 9 0.006871
2 7 10 0.006432
2 7 11 0.006032
2 7 12 0.005670
2 7 13 0.005341
2 7 14 0.005044
2 7 15 0.004774
2 7 16 0.004528
2 7 17 0.004304
2 7 18 0.004100
2 7 19 0.003912
2 7 20 0.003740
2 8 0 0.009676
2 8 1 0.009603
2 8 2 0.009394
2 8 3 0.009076
2 8 4 0.008684
2 8 5 0.008249
2 8 6 0.007799
2 8 7 0.007352
2 8 8 0.006922
2 8 9 0.006516
2 8 10 0.006137
2 8 11 0.005787
2 8 12 0.005465
2 8 13 0.005169
2 8 14 0.004898
2 8 15 0.004649
2 8 16 0.004422
2 8 17 0.004212
2 8 18 0.004020
2 8 19 0.003843
2 8 20 0.003679
2 9 0 0.008651
2 9 1 0.008599
2 9 2 0.008449
2 9 3 0.008216
2 9 4 0.007922
2 9 5 0.007587
2 9 6 0.007232
2 9 7 0.006871
2 9 8 0.006516
2 9 9 0.006174
2 9 10 0.005848
2 9 11 0.005543
2 9 12 0.005258
2 9 13 0.004992
2 9 14 0.004747
2 9 15 0.004520
2 9 16 0.004310
2 9 17 0.004115
2 9 18 0.003935
2 9 19 0.003769
2 9 20 0.003614
2 10 0 0.007819
2 10 1 0.007780
2 10 2 0.007669
2 10 3 0.007494
2 10 4 0.007269
2 10 5 0.007008
2 10 6 0.006725
2 10 7 0.006432
2 10 8 0.006137
2 10 9 0.005848
2 10 10 0.005570
2 10 11 0.005304
2 10 12 0.005052
2 10 13 0.004815
2 10 14 0.004594
2 10 15 0.004387
2 10 16 0.004194
2 10 17 0.004014
2 10 18 0.003847
2 10 19 0.003691
2 10 20 0.003545
2 11 0 0.007130
2 11 1 0.007101
2 11 2 0.007016
2 11 3 0.006882
2 11 4 0.006706
2 11 5 0.006500
2 11 6 0.006272
2 11 7 0.006032
2 11 8 0.005787
2 11 9 0.005543
2 11 10 0.005304
2 11 11 0.005072
2 11 12 0.004851
2 11 13 0.004640
2 11 14 0.004441
2 11 15 0.004253
2 11 16 0.004077
2 11 17 0.003911
2 11 18 0.003755
2 11 19 0.003610
2 11 20 0.003473
2 12 0 0.006551
2 12 1 0.006529
2 12 2 0.006463
2 12 3 0.006357
2 12 4 0.006218
2 12 5 0.006053
2 12 6 0.005868
2 12 7 0.005670
2 12 8 0.005465
2 12 9 0.005258
2 12 10 0.005052
2 12 11 0.004851
2 12 12 0.004656
2 12 13 0.004469
2 12 14 0.004290
2 12 15 0.004120
2 12 16 0.003959
2 12 17 0.003806
2 12 18 0.003663
2 12 19 0.003527
2 12 20 0.003399
2 13 0 0.006058
2 13 1 0.006040
2 13 2 0.005988
