21 21 21
0 0 0 0.2527310
0 0 1 0.0860643
0 0 2 0.0428893
0 0 3 0.0275451
0 0 4 0.0202889
0 0 5 0.0161011
0 0 6 0.0133647
0 0 7 0.0114303
0 0 8 0.0099880
0 0 9 0.0088703
0 0 10 0.0079783
0 1 0 0.0860643
0 1 1 0.0551914
0 1 2 0.0359316
0 1 3 0.0255231
0 1 4 0.0195217
0 1 5 0.0157382
0 1 6 0.0131642
0 1 7 0.0113073
0 1 8 0.0099069
0 1 9 0.0088139
0 1 10 0.0079374
0 2 0 0.0428893
0 2 1 0.0359316
0 2 2 0.0280552
0 2 3 0.0220752
0 2 4 0.0178426
0 2 5 0.0148296
0 2 6 0.0126262
0 2 7 0.0109650
0 2 8 0.0096764
0 2 9 0.0086515
0 2 10 0.0078188
0 3 0 0.0275451
0 3 1 0.0255231
0 3 2 0.0220752
0 3 3 0.0187148
0 3 4 0.0158989
0 3 5 0.0136517
0 3 6 0.0118760
0 3 7 0.0104645
0 3 8 0.0093285
0 3 9 0.0084011
0 3 10 0.0076331
0 4 0 0.0202889
0 4 1 0.0195217
0 4 2 0.0178426
0 4 3 0.0158989
0 4 4 0.0140453
0 4 5 0.0124158
0 4 6 0.0110326
0 4 7 0.0098732
0 4 8 0.0089026
0 4 9 0.0080863
0 4 10 0.0073950
0 5 0 0.0161011
0 5 1 0.0157382
0 5 2 0.0148296
0 5 3 0.0136517
0 5 4 0.0124158
0 5 5 0.0112415
0 5 6 0.0101810
0 5 7 0.0092473
0 5 8 0.0084351
0 5 9 0.0077311
0 5 10 0.0071205
0 6 0 0.0133647
0 6 1 0.0131642
0 6 2 0.0126262
0 6 3 0.0118760
0 6 4 0.0110326
0 6 5 0.0101810
0 6 6 0.0093708
0 6 7 0.0086262
0 6 8 0.0079549
0 6 9 0.0073560
0 6 10 0.0068241
0 7 0 0.0114303
0 7 1 0.0113073
0 7 2 0.0109650
0 7 3 0.0104645
0 7 4 0.0098732
0 7 5 0.0092473
0 7 6 0.0086262
0 7 7 0.0080337
0 7 8 0.0074824
0 7 9 0.0069772
0 7 10 0.0065182
0 8 0 0.0099880
0 8 1 0.0099069
0 8 2 0.0096764
0 8 3 0.0093285
0 8 4 0.0089026
0 8 5 0.0084351
0 8 6 0.0079549
0 8 7 0.0074824
0 8 8 0.0070304
0 8 9 0.0066060
0 8 10 0.0062122
0 9 0 0.0088703
0 9 1 0.0088139
0 9 2 0.0086515
0 9 3 0.0084011
0 9 4 0.0080863
0 9 5 0.0077311
0 9 6 0.0073560
0 9 7 0.0069772
0 9 8 0.0066060
0 9 9 0.0062499
0 9 10 0.0059131
0 10 0 0.0079783
0 10 1 0.0079374
0 10 2 0.0078188
0 10 3 0.0076331
0 10 4 0.0073950
0 10 5 0.0071205
0 10 6 0.0068241
0 10 7 0.0065182
0 10 8 0.0062122
0 10 9 0.0059131
0 10 10 0.0056253
1 0 0 0.0860643
1 0 1 0.0551914
1 0 2 0.0359316
1 0 3 0.0255231
1 0 4 0.0195217
1 0 5 0.0157382
